valid_at,pm2p5_x,pm2p5_y,pressure,relative_humidity,temperature,wind_speed,rain,dew_point
2019-06-21 17:00:00,15.57,13.0,1005.0,72.54,27.42,7.3,0.0,62.67
2019-06-21 18:00:00,11.6,13.0,1006.0,72.86,26.79,12.2,0.1,61.92
2019-06-21 19:00:00,12.38,13.0,1010.0,75.07,26.48,22.3,0.3,61.8
2019-06-21 20:00:00,13.26,13.0,1007.0,75.78,26.01,14.3,0.0,61.3
2019-06-21 21:00:00,12.14,10.0,1011.0,75.41,25.56,18.4,0.0,60.68
2019-06-21 22:00:00,11.75,9.0,1011.0,75.73,25.56,14.8,0.0,60.71
2019-06-21 23:00:00,11.02,4.8,1009.0,74.95,25.51,15.7,0.0,60.56
2019-06-22 00:00:00,9.83,15.0,1009.0,75.4,25.02,13.7,0.0,59.99
2019-06-22 01:00:00,16.32,15.0,1009.0,71.82,25.19,15.1,0.0,59.78
2019-06-22 02:00:00,22.44,18.0,1008.0,70.84,26.19,12.4,0.0,60.9
2019-06-22 03:00:00,20.91,16.0,1007.0,69.27,28.05,12.6,0.0,63.04
2019-06-22 04:00:00,14.86,11.0,1007.0,64.79,29.18,13.7,0.0,63.85
2019-06-22 05:00:00,9.2,12.0,1008.0,58.01,31.19,19.4,0.0,65.33
2019-06-22 06:00:00,10.52,5.5,1010.0,57.44,32.66,25.9,0.0,67.07
2019-06-22 09:00:00,14.85,15.0,1011.0,49.67,34.06,14.8,0.0,67.43
2019-06-22 10:00:00,14.58,17.0,1011.0,55.5,32.33,22.3,0.0,66.33
2019-06-22 11:00:00,16.87,22.0,1009.0,59.78,32.12,12.9,0.0,66.78
2019-06-22 12:00:00,20.97,11.05,1010.0,59.3,32.18,25.9,0.0,66.77
2019-06-22 13:00:00,19.3,18.0,1009.0,63.23,30.57,18.4,0.0,65.36
2019-06-22 14:00:00,19.23,16.0,1007.0,65.22,29.64,15.2,0.0,64.49
2019-06-22 15:00:00,16.02,14.0,1008.0,65.78,28.9,18.4,0.0,63.63
2019-06-22 16:00:00,20.94,25.0,1007.0,69.02,28.24,18.4,0.0,63.25
