valid_at,pm2p5_x,pm2p5_y,pressure,relative_humidity,temperature,wind_speed,rain,dew_point
2020-03-22 17:00:00,113.98,58.6,1008.6,54.6,24.26,12.2,0.0,56.15
2020-03-22 18:00:00,105.97,50.2,1009.0,55.95,23.79,5.4,0.0,55.79
2020-03-22 19:00:00,105.56,49.8,1010.0,60.97,22.96,5.8,0.0,55.5
2020-03-22 20:00:00,109.86,50.7,1010.0,63.73,22.71,3.6,0.0,55.59
2020-03-22 21:00:00,113.6,48.7,1011.0,62.2,22.72,7.6,0.0,55.39
2020-03-22 22:00:00,116.83,45.0,1012.0,65.2,21.71,7.9,0.0,54.53
2020-03-22 23:00:00,118.55,48.2,1012.0,67.18,21.03,7.2,0.0,53.95
2020-03-23 00:00:00,122.73,47.2,1012.0,67.93,20.85,7.2,0.0,53.82
2020-03-23 01:00:00,128.74,44.7,1012.0,63.25,22.94,7.2,0.0,55.81
2020-03-23 02:00:00,157.47,71.6,1012.0,56.49,27.54,7.9,0.0,60.53
2020-03-23 03:00:00,87.69,46.5,1011.0,48.25,32.21,8.6,0.0,64.87
2020-03-23 05:00:00,38.11,27.4,1011.0,27.01,38.48,8.3,0.0,67.05
2020-03-23 06:00:00,38.04,28.2,1011.0,25.78,40.04,6.1,0.0,68.48
2020-03-23 07:00:00,31.5,22.3,1012.0,21.04,40.33,5.4,0.0,66.88
2020-03-23 08:00:00,30.81,25.4,1013.2,20.51,40.76,6.1,0.0,67.14
2020-03-23 09:00:00,34.37,26.5,1014.0,24.74,40.21,6.1,0.0,68.28
2020-03-23 10:00:00,30.69,27.1,1014.0,24.65,38.54,5.8,0.0,66.25
2020-03-23 11:00:00,38.3,30.2,1013.0,25.05,35.28,4.3,0.0,62.51
2020-03-23 12:00:00,51.95,39.3,1013.0,28.78,33.24,1.8,0.0,61.33
2020-03-23 17:00:00,125.92,77.2,1007.8,47.88,26.99,10.8,0.0,58.35
2020-03-23 18:00:00,113.43,61.0,1009.0,49.48,25.63,5.8,0.0,56.96
2020-03-23 19:00:00,112.02,55.3,1009.0,54.25,24.52,9.0,0.0,56.41
2020-03-23 20:00:00,114.04,54.0,1010.0,57.27,23.21,7.9,0.0,55.26
2020-03-23 21:00:00,125.81,67.0,1010.0,60.69,22.23,7.2,0.0,54.56
2020-03-23 22:00:00,152.36,77.8,1011.0,64.36,21.25,7.2,0.0,53.85
2020-03-23 23:00:00,189.49,87.3,1011.0,66.58,20.78,7.2,0.0,53.57
2020-03-24 00:00:00,208.29,81.5,1011.0,68.06,20.91,6.5,0.0,53.91
2020-03-24 01:00:00,210.95,77.7,1011.0,63.92,23.35,7.2,0.0,56.41
2020-03-24 02:00:00,174.49,71.0,1011.0,58.64,27.15,6.8,0.0,60.38
2020-03-24 03:00:00,113.22,50.2,1010.0,48.08,31.08,6.5,0.0,63.44
2020-03-24 04:00:00,73.33,40.4,1010.0,36.59,34.58,7.6,0.0,65.19
2020-03-24 05:00:00,52.61,37.9,1010.0,27.82,38.29,7.2,0.0,67.1
2020-03-24 06:00:00,40.8,28.3,1011.0,26.74,38.6,6.8,0.0,67.09
2020-03-24 07:00:00,38.18,29.5,1011.0,22.59,41.09,6.8,0.0,68.46
2020-03-24 08:00:00,32.56,27.6,1012.1,21.35,42.86,7.6,0.0,70.03
2020-03-24 09:00:00,31.32,29.1,1012.0,24.05,42.32,7.9,0.0,70.53
2020-03-24 10:00:00,27.85,27.1,1013.0,24.51,40.16,8.6,0.0,68.13
2020-03-24 11:00:00,36.34,32.3,1012.0,24.45,37.97,7.2,0.0,65.49
2020-03-24 19:00:00,126.94,59.1,1008.0,54.98,26.13,7.2,0.0,58.53
2020-03-24 20:00:00,131.27,58.4,1009.0,59.3,24.9,7.9,0.0,57.68
2020-03-24 21:00:00,139.79,69.2,1010.0,62.4,25.09,7.2,0.0,58.38
2020-03-24 22:00:00,134.39,61.3,1010.0,61.33,25.14,7.6,0.0,58.28
2020-03-24 23:00:00,135.62,63.6,1010.0,61.64,24.21,7.6,0.0,57.17
2020-03-25 00:00:00,130.5,57.0,1010.0,63.64,24.58,6.5,0.0,57.91
2020-03-25 01:00:00,127.2,52.4,1010.0,56.7,27.18,6.5,0.0,60.12
2020-03-25 02:00:00,102.63,51.3,1010.0,50.75,30.9,7.2,0.0,63.72
2020-03-25 03:00:00,92.31,51.5,1009.0,47.34,33.1,6.8,0.0,65.79
2020-03-25 04:00:00,65.4,38.0,1009.0,38.03,35.81,4.7,0.0,67.05
2020-03-25 05:00:00,47.41,32.2,1009.0,29.51,37.84,1.8,0.0,67.12
2020-03-25 06:00:00,42.54,34.3,1009.0,27.79,39.78,2.9,0.0,68.89
2020-03-25 07:00:00,33.34,27.5,1010.0,23.2,40.9,5.4,0.0,68.49
2020-03-25 08:00:00,21.52,20.5,1010.6,21.91,41.92,0.0,0.0,69.16
2020-03-25 15:00:00,52.31,38.0,1009.0,39.21,30.87,16.2,0.0,61.29
2020-03-25 16:00:00,50.84,32.0,1008.0,42.64,29.46,15.8,0.0,60.33
2020-03-25 17:00:00,43.0,27.6,1006.7,42.62,29.21,17.6,0.0,60.02
2020-03-25 18:00:00,28.05,26.0,1007.0,44.78,28.66,10.8,0.0,59.79
2020-03-25 19:00:00,23.17,18.5,1007.0,48.64,27.44,7.6,0.0,59.05
2020-03-25 20:00:00,23.51,22.0,1008.0,50.3,26.49,7.9,0.0,58.18
2020-03-25 21:00:00,24.78,16.4,1009.0,53.66,25.78,8.6,0.0,57.88
2020-03-25 22:00:00,25.06,17.2,1010.0,55.67,25.56,8.3,0.0,57.93
2020-03-25 23:00:00,26.63,17.9,1011.0,57.81,25.43,9.4,0.0,58.11
2020-03-26 01:00:00,29.07,15.1,1011.0,55.78,26.03,10.8,0.0,58.53
2020-03-26 02:00:00,27.66,16.1,1010.0,52.04,28.72,10.8,0.0,61.25
2020-03-26 03:00:00,22.49,14.9,1010.0,46.86,31.33,10.4,0.0,63.51
2020-03-26 04:00:00,19.43,12.9,1010.0,36.08,34.21,11.2,0.0,64.61
2020-03-26 05:00:00,14.44,11.5,1010.0,27.0,37.22,9.4,0.0,65.53
2020-03-26 06:00:00,11.24,15.5,1010.0,25.51,39.71,7.9,0.0,67.98
2020-03-26 07:00:00,10.44,14.2,1011.0,21.61,40.66,8.3,0.0,67.52
2020-03-26 08:00:00,10.97,12.4,1010.9,22.19,39.08,9.0,0.0,65.9
2020-03-26 09:00:00,12.21,18.5,1012.0,23.06,40.13,9.7,0.0,67.51
2020-03-26 10:00:00,11.12,14.0,1013.0,24.19,37.34,11.2,0.0,64.64
2020-03-26 11:00:00,11.43,16.3,1012.0,25.16,35.19,12.2,0.0,62.43
2020-03-26 12:00:00,13.33,17.7,1012.0,27.82,32.39,14.4,0.0,60.01
