valid_at,sensor_id,pm2p5_x,pm10,pm1,pm4,pressure,relative_humidity,temperature,wind_speed,rain,pm2p5_y
2024-02-04 23:00:00,ari-2432,1.75,2.19,1.32,2.04,1030.0,33.34,10.78,2.66,0.0,1.5
2024-02-04 23:00:00,ari-2433,2.06,2.41,1.68,2.3,1030.0,33.53,10.61,2.67,0.0,1.5
2024-02-05 00:00:00,ari-2432,1.56,2.4,0.84,2.12,1030.0,33.86,10.68,2.76,0.0,1.0
2024-02-05 00:00:00,ari-2433,1.26,1.71,0.85,1.56,1030.0,33.7,10.52,2.67,0.0,1.0
2024-02-05 01:00:00,ari-2433,0.66,0.66,0.62,0.66,1029.0,34.08,11.02,2.9,0.0,0.8
2024-02-05 01:00:00,ari-2432,1.69,2.21,1.21,2.04,1029.0,34.18,11.16,2.9,0.0,0.8
2024-02-05 02:00:00,ari-2433,1.36,1.84,0.93,1.68,1029.0,34.1,10.47,2.9,0.0,0.7
2024-02-05 02:00:00,ari-2432,0.74,0.9,0.57,0.84,1029.0,34.37,10.55,2.9,0.0,0.7
2024-02-05 03:00:00,ari-2432,1.09,1.36,0.82,1.27,1029.0,34.51,11.18,2.92,0.0,0.7
2024-02-05 03:00:00,ari-2433,1.49,1.49,1.4,1.49,1029.0,33.83,11.16,2.92,0.0,0.7
2024-02-05 04:00:00,ari-2432,1.41,1.77,1.05,1.65,1029.0,34.96,10.51,2.89,0.0,0.7
2024-02-05 04:00:00,ari-2433,1.56,2.1,1.07,1.92,1029.0,34.75,10.48,2.89,0.0,0.7
2024-02-05 05:00:00,ari-2433,1.62,2.36,0.97,2.11,1029.0,35.19,10.67,2.78,0.0,1.1
2024-02-05 05:00:00,ari-2432,2.16,3.58,0.95,3.11,1018.0,35.61,10.06,2.68,0.0,1.1
2024-02-05 06:00:00,ari-2433,0.78,0.92,0.63,0.87,1029.0,35.94,9.68,2.78,0.0,1.7
2024-02-05 06:00:00,ari-2432,1.16,1.47,0.85,1.37,986.0,36.38,9.55,2.24,0.0,1.7
2024-02-05 07:00:00,ari-2433,8.01,8.18,7.45,8.12,989.0,37.16,9.27,1.03,0.0,9.3
2024-02-05 07:00:00,ari-2432,1.65,2.68,0.77,2.34,986.0,36.88,9.25,2.24,0.0,9.3
2024-02-05 08:00:00,ari-2433,10.56,13.32,7.88,12.4,986.0,39.56,7.84,0.45,0.0,13.4
2024-02-05 08:00:00,ari-2432,9.51,11.52,7.47,10.85,986.0,39.51,7.91,0.45,0.0,13.4
2024-02-05 09:00:00,ari-2433,10.68,12.78,8.5,12.08,1018.0,40.01,8.72,0.45,0.0,18.7
2024-02-05 09:00:00,ari-2432,15.22,20.33,10.49,18.63,1018.0,40.37,8.77,0.89,0.0,18.7
