valid_at,sensor_id,pm2p5_x,pm2p5_y,pm1,pm10,pressure,relative_humidity,temperature,wind_speed,wind_direction,rain,solar_radiation,uv_index
2021-11-15 00:00:00,5e8,16.0,15.57,11.0,25.0,1015.8,89,16.5,1.8,SSE,0.0,0,0.0
2021-11-15 00:00:00,40a,16.0,15.57,9.0,26.0,1015.8,89,16.5,1.8,SSE,0.0,0,0.0
2021-11-15 00:00:00,4E5,16.0,15.57,8.0,20.0,1015.8,89,16.5,1.8,SSE,0.0,0,0.0
2021-11-15 01:00:00,5e8,19.0,19.04,11.0,29.0,1015.0,89,16.4,1.8,SSE,0.0,0,0.0
2021-11-15 01:00:00,40a,14.0,19.04,9.0,28.0,1015.0,89,16.4,1.8,SSE,0.0,0,0.0
2021-11-15 01:00:00,4E5,13.0,19.04,8.0,19.0,1015.0,89,16.4,1.8,SSE,0.0,0,0.0
2021-11-15 02:00:00,40a,22.0,26.98,14.0,47.0,1014.4,90,16.5,1.3,SSE,0.0,0,0.0
2021-11-15 02:00:00,4E5,19.0,26.98,12.0,27.0,1014.4,90,16.5,1.3,SSE,0.0,0,0.0
2021-11-15 02:00:00,5e8,25.0,26.98,17.0,42.0,1014.4,90,16.5,1.3,SSE,0.0,0,0.0
2021-11-15 03:00:00,5e8,34.0,28.82,24.0,64.0,1013.9,89,16.4,0.9,S,0.0,0,0.0
2021-11-15 03:00:00,4E5,31.0,28.82,21.0,57.0,1013.9,89,16.4,0.9,S,0.0,0,0.0
2021-11-15 03:00:00,40a,35.0,28.82,25.0,71.0,1013.9,89,16.4,0.9,S,0.0,0,0.0
2021-11-15 04:00:00,5e8,16.0,18.0,10.0,26.0,1014.0,90,16.6,0.4,SSW,0.0,0,0.0
2021-11-15 04:00:00,4E5,14.0,18.0,7.0,21.0,1014.0,90,16.6,0.4,SSW,0.0,0,0.0
2021-11-15 04:00:00,40a,14.0,18.0,8.0,27.0,1014.0,90,16.6,0.4,SSW,0.0,0,0.0
2021-11-15 05:00:00,4E5,12.0,14.98,6.0,16.0,1014.5,90,16.4,0.4,SW,0.0,0,0.0
2021-11-15 05:00:00,5e8,16.0,14.98,9.0,23.0,1014.5,90,16.4,0.4,SW,0.0,0,0.0
2021-11-15 05:00:00,40a,14.0,14.98,7.0,31.0,1014.5,90,16.4,0.4,SW,0.0,0,0.0
2021-11-15 06:00:00,4E5,10.0,16.14,5.0,12.0,1015.2,91,16.2,0.9,SSW,0.0,1,0.0
2021-11-15 06:00:00,40a,10.0,16.14,6.0,19.0,1015.2,91,16.2,0.9,SSW,0.0,1,0.0
2021-11-15 06:00:00,5e8,12.0,16.14,7.0,20.0,1015.2,91,16.2,0.9,SSW,0.0,1,0.0
2021-11-15 07:00:00,4E5,10.0,16.69,5.0,12.0,1016.4,92,16.2,0.9,SSW,0.0,20,0.0
2021-11-15 07:00:00,5e8,13.0,16.69,8.0,18.0,1016.4,92,16.2,0.9,SSW,0.0,20,0.0
2021-11-15 07:00:00,40a,12.0,16.69,6.0,29.0,1016.4,92,16.2,0.9,SSW,0.0,20,0.0
2021-11-15 08:00:00,40a,16.0,17.56,9.0,31.0,1017.0,91,16.5,0.9,SSW,0.0,64,0.0
2021-11-15 08:00:00,5e8,19.0,17.56,11.0,27.0,1017.0,91,16.5,0.9,SSW,0.0,64,0.0
2021-11-15 08:00:00,4E5,14.0,17.56,8.0,22.0,1017.0,91,16.5,0.9,SSW,0.0,64,0.0
2021-11-15 09:00:00,40a,16.0,19.69,9.0,28.0,1017.1,87,17.3,0.4,SSW,0.0,136,0.7
2021-11-15 09:00:00,4E5,14.0,19.69,8.0,19.0,1017.1,87,17.3,0.4,SSW,0.0,136,0.7
2021-11-15 09:00:00,5e8,16.0,19.69,11.0,24.0,1017.1,87,17.3,0.4,SSW,0.0,136,0.7
2021-11-15 10:00:00,40a,17.0,24.75,11.0,30.0,1017.1,86,17.9,0.4,SW,0.0,166,1.2
2021-11-15 10:00:00,4E5,15.0,24.75,9.0,20.0,1017.1,86,17.9,0.4,SW,0.0,166,1.2
2021-11-15 10:00:00,5e8,16.0,24.75,11.0,26.0,1017.1,86,17.9,0.4,SW,0.0,166,1.2
2021-11-15 11:00:00,40a,22.0,26.31,15.0,39.0,1017.0,84,18.4,0.9,SW,0.0,234,1.8
2021-11-15 11:00:00,4E5,19.0,26.31,13.0,27.0,1017.0,84,18.4,0.9,SW,0.0,234,1.8
2021-11-15 11:00:00,5e8,23.0,26.31,16.0,36.0,1017.0,84,18.4,0.9,SW,0.0,234,1.8
2021-11-15 12:00:00,40a,21.0,30.82,13.0,36.0,1016.3,80,19.3,0.9,SW,0.0,359,2.9
2021-11-15 12:00:00,4E5,19.0,30.82,11.0,26.0,1016.3,80,19.3,0.9,SW,0.0,359,2.9
2021-11-15 12:00:00,5e8,19.0,30.82,14.0,28.0,1016.3,80,19.3,0.9,SW,0.0,359,2.9
2021-11-15 13:00:00,5e8,25.0,41.88,19.0,46.0,1015.8,75,20.9,1.3,NW,0.0,597,5.0
2021-11-15 13:00:00,40a,25.0,41.88,20.0,51.0,1015.8,75,20.9,1.3,NW,0.0,597,5.0
2021-11-15 13:00:00,4E5,23.0,41.88,16.0,33.0,1015.8,75,20.9,1.3,NW,0.0,597,5.0
2021-11-15 14:00:00,4E5,23.0,38.78,16.0,39.0,1015.0,74,21.1,1.8,WNW,0.0,819,5.4
2021-11-15 14:00:00,40a,28.0,38.78,20.0,56.0,1015.0,74,21.1,1.8,WNW,0.0,819,5.4
2021-11-15 14:00:00,5e8,29.0,38.78,21.0,49.0,1015.0,74,21.1,1.8,WNW,0.0,819,5.4
2021-11-15 15:00:00,5e8,19.0,26.11,13.0,28.0,1014.4,73,21.8,1.3,WNW,0.0,683,3.8
2021-11-15 15:00:00,40a,19.0,26.11,14.0,33.0,1014.4,73,21.8,1.3,WNW,0.0,683,3.8
2021-11-15 15:00:00,4E5,18.0,26.11,11.0,27.0,1014.4,73,21.8,1.3,WNW,0.0,683,3.8
2021-11-15 16:00:00,4E5,16.0,24.35,9.0,21.0,1014.4,76,21.0,1.3,SW,0.0,542,2.2
2021-11-15 16:00:00,5e8,16.0,24.35,10.0,24.0,1014.4,76,21.0,1.3,SW,0.0,542,2.2
2021-11-15 16:00:00,40a,14.0,24.35,9.0,24.0,1014.4,76,21.0,1.3,SW,0.0,542,2.2
2021-11-15 17:00:00,4E5,16.0,21.3,9.0,22.0,1014.5,82,19.2,1.3,S,0.0,310,0.8
2021-11-15 17:00:00,40a,17.0,21.3,10.0,29.0,1014.5,82,19.2,1.3,S,0.0,310,0.8
2021-11-15 17:00:00,5e8,16.0,21.3,10.0,24.0,1014.5,82,19.2,1.3,S,0.0,310,0.8
2021-11-15 18:00:00,4E5,19.0,25.94,13.0,28.0,1015.1,86,17.7,1.8,S,0.0,103,0.0
2021-11-15 18:00:00,40a,22.0,25.94,13.0,41.0,1015.1,86,17.7,1.8,S,0.0,103,0.0
2021-11-15 18:00:00,5e8,21.0,25.94,14.0,34.0,1015.1,86,17.7,1.8,S,0.0,103,0.0
2021-11-15 19:00:00,5e8,25.0,27.63,18.0,44.0,1015.8,86,17.5,0.9,S,0.0,8,0.0
2021-11-15 19:00:00,4E5,24.0,27.63,17.0,38.0,1015.8,86,17.5,0.9,S,0.0,8,0.0
2021-11-15 19:00:00,40a,25.0,27.63,19.0,52.0,1015.8,86,17.5,0.9,S,0.0,8,0.0
2021-11-15 20:00:00,40a,29.0,33.63,20.0,60.0,1016.2,87,17.2,1.8,SSE,0.0,0,0.0
2021-11-15 20:00:00,4E5,25.0,33.63,17.0,40.0,1016.2,87,17.2,1.8,SSE,0.0,0,0.0
2021-11-15 20:00:00,5e8,30.0,33.63,21.0,55.0,1016.2,87,17.2,1.8,SSE,0.0,0,0.0
2021-11-15 21:00:00,4E5,25.0,29.27,18.0,42.0,1016.6,88,17.1,2.2,SSE,0.0,0,0.0
2021-11-15 21:00:00,5e8,31.0,29.27,22.0,58.0,1016.6,88,17.1,2.2,SSE,0.0,0,0.0
2021-11-15 21:00:00,40a,30.0,29.27,21.0,62.0,1016.6,88,17.1,2.2,SSE,0.0,0,0.0
2021-11-15 22:00:00,4E5,23.0,29.12,15.0,34.0,1016.7,89,16.9,1.8,SSE,0.0,0,0.0
2021-11-15 22:00:00,5e8,27.0,29.12,19.0,47.0,1016.7,89,16.9,1.8,SSE,0.0,0,0.0
2021-11-15 22:00:00,40a,27.0,29.12,19.0,54.0,1016.7,89,16.9,1.8,SSE,0.0,0,0.0
2021-11-15 23:00:00,40a,32.0,32.27,23.0,63.0,1016.5,89,17.0,0.9,SSW,0.0,0,0.0
2021-11-15 23:00:00,4E5,28.0,32.27,20.0,48.0,1016.5,89,17.0,0.9,SSW,0.0,0,0.0
2021-11-15 23:00:00,5e8,31.0,32.27,23.0,58.0,1016.5,89,17.0,0.9,SSW,0.0,0,0.0
2021-11-16 00:00:00,40a,24.0,25.85,15.0,46.0,1016.2,90,16.8,0.9,S,0.0,0,0.0
2021-11-16 00:00:00,4E5,21.0,25.85,13.0,31.0,1016.2,90,16.8,0.9,S,0.0,0,0.0
2021-11-16 00:00:00,5e8,24.0,25.85,16.0,44.0,1016.2,90,16.8,0.9,S,0.0,0,0.0
2021-11-16 01:00:00,40a,24.0,31.44,16.0,48.0,1015.4,91,16.7,0.9,S,0.0,0,0.0
2021-11-16 01:00:00,5e8,24.0,31.44,16.0,42.0,1015.4,91,16.7,0.9,S,0.0,0,0.0
2021-11-16 01:00:00,4E5,21.0,31.44,13.0,31.0,1015.4,91,16.7,0.9,S,0.0,0,0.0
2021-11-16 02:00:00,40a,28.0,33.99,19.0,59.0,1014.9,91,16.5,0.4,S,0.0,0,0.0
2021-11-16 02:00:00,4E5,25.0,33.99,16.0,44.0,1014.9,91,16.5,0.4,S,0.0,0,0.0
2021-11-16 02:00:00,5e8,28.0,33.99,19.0,51.0,1014.9,91,16.5,0.4,S,0.0,0,0.0
2021-11-16 03:00:00,5e8,28.0,30.88,20.0,50.0,1014.3,92,16.4,0.9,S,0.0,0,0.0
2021-11-16 03:00:00,4E5,25.0,30.88,17.0,44.0,1014.3,92,16.4,0.9,S,0.0,0,0.0
